description,courseNumber,departmentCode,courseTitle,avg_gpa,A_rate,B_rate,C_rate,D_rate,F_rate,W_rate,total_enrollment
"Introductory ceramics course that includes the development and aesthetics of ceramic utilitarian forms and sculpture. Learn basic technical aspects of building with clay, working with glazes and the firing of ceramic objects. Emphasis is on problem solving and development of ideas. Creative process, critical thinking and development of design skills are also important elements. Students furnish their own materials. B.A. Core.",215,ART,"Ceramics I",3.49,62.00,27.00,7.00,3.00,2.00,3.00,631
"Introduction to graphic design as a specialized arts medium that integrates text and images to communicate specific messages to diverse viewers. Covers the history of graphic design, principles of visual communication and image creation, and the use of specialized computer software to solve basic graphic design problems.",226,ART,"Graphic Design I",3.27,52.00,23.00,12.00,2.00,4.00,9.00,353
"Exploration of three-dimensional form and content using a variety of materials and processes in a studio setting, which includes a wood shop, welding studio, bronze and iron foundry, and mixed media room. Students furnish some of their own materials.",261,ART,"Sculpture I",3.02,37.00,38.00,16.00,4.00,4.00,4.00,402
"Learn the basic skills needed to work with hot glass, with an emphasis on teamwork and safety. Through demonstrations and hands-on practice, learn foundational skills in glass blowing, hot sculpting and finishing techniques. Learn basic principles of composition and modes of using glass as a material for artistic expression. Studio work outside of class and group critique of students' work also are required.",271,ART,"Glass I",3.26,52.00,26.00,8.00,3.00,6.00,7.00,460
"Survey of major art movements in the United States and Europe aince World War II, including key theoretical writings by artists and critics. Topics include the public persona of the artist, new ideas about the concept, form, purpose and interpretation of art, its relation to other disciplines, and its legitimation through arts organizations and the marketplace.",305,ART,"Art Since 1945",2.89,40.00,23.00,18.00,7.00,7.00,7.00,188
"Introduction to the principles of relief printing through the study of historical elements and practical processes. Various monochromatic and polychromatic relief printing techniques explored. Students furnish their own materials.",353,ART,"Printmaking: Relief",3.53,66.00,26.00,8.00,0.00,2.00,0.00,66
"Introduces students to the principles inherent to life, with a broad overview of the cell, the organism and the community in which living things exist. This Web-enhanced course requires significant online work. Does not satisfy biology major requirements.",101,BIOL,"Fundamentals of Biology",2.37,14.00,34.00,33.00,13.00,6.00,4.00,6928
"Introduction to the study of biology, focusing on how biologists know things and study the world of life, with emphases on cell biology, genetics, ecology and evolution. May not be used to satisfy requirements within the biology major.",210,BIOL,"Biology: Concepts and Methods",2.62,23.00,34.00,25.00,8.00,7.00,7.00,2156
"Introduces the skills, abilities and knowledge related to functioning in a professional business environment. Focus on developing those skills considered important by employers as well as familiarizing students with the ABLE graduation requirement. Sessions vary in duration, depending on the activities involved, which are subject to change. Writing assignments and mandatory attendance at events.",300,BUAD,"Personal and Professional Development for Business",0.00,0.00,0.00,0.00,0.00,27.00,74.00,456
"Surveys the basic practical and theoretical foundations of conflict and conflict resolution. Introduces students to the basic theories and practices of conflict resolution providing them with a grounding in theories of conflict, their application, the dynamics of conflict and an overview of key conflict resolution processes. Students learn to understand their own conflicts and how the theories, skills and practices of conflict resolution can make conflict productive.",200,CADR,"Foundations of Conflict and Conflict Resolution",3.24,51.00,30.00,10.00,4.00,4.00,4.00,2675
"Study of fundamental laws of chemistry and atomic structure emphasizing quantitative relationships.",121,CHEM,"General Chemistry I",2.22,15.00,24.00,22.00,11.00,12.00,18.00,5193
"Continuation of CHEM 121, including chemical equilibrium, electrochemistry and organic chemistry.",122,CHEM,"General Chemistry II",2.41,17.00,29.00,27.00,12.00,7.00,11.00,2938
"An introduction to the structure, properties and reactivity of carbon compounds. Analysis of molecular structure, including bonding, conformation and isomerism, is applied to the mechanisms of organic chemical reactions. Emphasis is placed on problem solving and effective communication of chemical ideas.",221,CHEM,"Organic Chemistry I",2.08,12.00,24.00,25.00,16.00,13.00,13.00,1355
"urveys the skills necessary to articulate oneself effectively in a variety of communication settings. Topics include interpersonal relationship, formal and informal groups, and public forums with a primary focus on basic presentation skills.",100,CMAT,"Fundamentals of Communication",3.27,50.00,34.00,11.00,3.00,3.00,2.00,2548
"Description Introduction to the basic principles and theories of human communication. Explores contexts such as interpersonal relationships, small groups, organizations, intercultural interaction and public speaking. In each context, practice skills of effective communication while gaining understanding of the relevant theories and research that are foundational to the discipline.",101,CMAT,"Introduction to Human Communication Studies",3.40,58.00,29.00,9.00,2.00,3.00,2.00,1255
"Designed to provide extensive exposure to, and practice in, the preparation and presentation of messages. Emphasizes the nature, methods and principles of public address including persuasive, informative and special occasion presentations.",218,CMAT,"Rhetoric and Public Presentation",3.46,57.00,34.00,7.00,0.00,2.00,2.00,250
"Description Introduction to the equipment and techniques of television studio production. Each student produces and directs a variety of live-to-tape productions. Outside class crew hours required.",243,CMAT,"Television Studio Production",3.42,51.00,42.00,7.00,0.00,1.00,2.00,191
"Study of human communication systems in organizations. Students explore one-to-one, small group and one-to-many communication, and develop the skills needed in organizational communication.",260,CMAT,"Business and Professional Communications",3.40,55.00,34.00,8.00,1.00,3.00,3.00,989
"Introductory course in computer programming, which involves solving problems by designing, implementing and testing algorithms. Emphasis is on problem solving through the use of algorithms and learning to develop computer programs that are reliable, well-documented and correct. Implementation is done in object-oriented based languages concentrating on fundamental instructions and the development and implementation of events, methods and functions.",117,COSC,"Programming Fundamentals",2.41,27.00,20.00,18.00,8.00,15.00,14.00,2766
"Step-by-step approach to problem solving, modular structured design, and structured programming in C++. Emphasizes production of readable, well-documented, efficient, tested and correct programs. Includes time intensive assignments.",120,COSC,"Computer Science I",2.69,31.00,24.00,20.00,6.00,9.00,11.00,1489
"Object-oriented approach to design and implementation of medium to large software projects. Abstract data types including lists, stack and queues. Emphasizes design trade-offs based on analysis of run time and storage requirements. Includes time-intensive assignments",220,COSC,"Computer Science II",2.20,17.00,23.00,19.00,8.00,16.00,20.00,1134
"Study and practice of yoga. Focuses on sequences for strength, flexibility, and balance and techniques for breath awareness, meditation and relaxation.",150,DANC,Yoga,3.61,72.00,15.00,8.00,3.00,1.00,4.00,677
"ntroduction to beginning classical ballet technique. Focuses on placement and body alignment, barre work, and simple adagio and allegro movements.",167,DANC,"Ballet I",3.74,83.00,8.00,3.00,1.00,2.00,4.00,402
"Introduction to the ideas and tools economists use to understand human behavior constrained by scarce resources. Analytical tools introduced include supply and demand analysis, elasticities, and models of perfect and imperfect competition. These tools will be used to study topics such as consumer and producer decision-making, taxation, environmental quality and health care.",211,ECON,"Principles of Microeconomics",2.26,14.00,30.00,29.00,11.00,11.00,7.00,4850
"Explores forces behind business consumer purchases, capital spending and the balance of payments and their relationship to unemployment, inflation and the value of the dollar abroad. Also examines the effect of government spending, taxation and money supply policies on the economy's performance.",212,ECON,"Principles of Macroeconomics",2.59,16.00,40.00,32.00,7.00,4.00,5.00,2688
"Examines concepts, principles, theories and research related to teaching and learning for diverse populations across grade levels. Explores traditional and nontraditional strategies for assessing student learning. Field experience is included.",304,ELED,"Learning and Assesment",3.34,59.00,25.00,8.00,0.00,7.00,4.00,113
"ELED 309 involves students in school field placement in which they make classroom observations and/or take part in other professional activities (e.g., team planning) that are appropriate to the methods classes being taken concurrently. Plan to spend at least one hour per week in classroom observations and/or professional activities at field placement for each methods class being taken.",309,ELED,"Classroom Visitations",0.00,0.00,0.00,0.00,0.00,0.00,100.00,2
"Provides a foundation for examining, integrating and evaluating practical and theoretical issues related to constructing developmentally appropriate programs for infants and toddlers. Emphasis on infant/toddler development, quality of adult-child interactions and the physical environment. Looks at family-school-community partnerships that relate to the child's ability to develop and learn with a focus on the central role of family involvement in early childhood programs. Field experience required.",320,ECED,"Developing the Young Child",3.49,49.00,50.00,0.00,0.00,0.00,2.00,62
"Focuses on the development of the young child's receptive and expressive language and emergent literacy through play and a rich array of content-related activities. The teacher's role in supporting and facilitating language and literacy development and community building is examined. Issues of language and literacy diversity are also explored.",421,ECED,"Language, Literacy and Play",3.98,99.00,2.00,0.00,0.00,0.00,0.00,62
"Introduces the processes of communication and strategies for promoting growth in these areas in the elementary and middle school. Emphasis on language acquisition, oral and written language development, viewing, diverse language learners, and the relationship of language proficiency to literacy development. Field experiences and reflective evaluation included",310,ELED,"Language Arts Instruction",3.94,94.00,6.00,0.00,0.00,0.00,1.00,145
"Selection and creation of meaningful mathematics learning experiences for elementary and middle school students. Attention given to use of technology, manipulatives, literature, and assessment that support mathematical thinking and learning in diverse classrooms. Field experiences and reflective evaluation included.",311,ELED,"Mathematics Instruction",3.69,79.00,14.00,2.00,3.00,2.00,3.00,125
"Introduces the processes of science that facilitate student learning in elementary and middle schools. Emphasis on planning, teaching and assessment with a focus on inquiry and understanding of everyday phenomena. Attention given to environmental education. Field experiences and reflective evaluation included.",312,ELED,"Science Instruction",3.82,89.00,10.00,0.00,1.00,2.00,0.00,119
"Selection, organization, presentation and assessment of meaningful social studies learning experiences for elementary and middle school students. Attention given to technolgy, literature, and local resources that support learning in diverse classroom settings. Field experiences and reflective evaluations included.",313,ELED,"Social Studies Instruction",3.93,93.00,7.00,0.00,0.00,0.00,1.00,120
"Overview of the role of computers in education. Examination of computer applications as they relate to specific teaching/learning operations and educational functions in the pre-K-12 classroom.",318,ELED,"Computers in Education",3.63,66.00,26.00,3.00,2.00,0.00,6.00,171
"3 hours credit Study of classic and contemporary literature for children. Emphasis on selecting and incorporating a wide variety of literature into the elementary and middle school curriculum. Technological and media resources are included",408,ELED,"Childrens Literature",3.81,83.00,11.00,2.00,2.00,0.00,4.00,156
"3 hours credit Develops skills for creating and implementing curricular, instructional and environmental modifications/accommodations to meet the social, affective, behavioral and cognitive needs of exceptional students. In depth study of collaborative processes involving family, community, school staff and special education teachers in developing and implementing IEPs as well as developing the support system necessary for inclusion.",415,ELED,"Instructional Techniques for Inclusion",3.57,60.00,34.00,5.00,0.00,0.00,2.00,207
"Explores the ability to create and maintain productive learning environments. Emphasis on development of learner responsibility, promotion of positive social relationships, interdependence of effective instruction and management, and prevention/intervention strategies. Consideration given to accommodating diversity and communicating with families. Field experience included.",416,ELED,"Classroom Management",4.00,98.00,0.00,0.00,0.00,0.00,3.00,142
"Deals with a variety of formal and informal assessment techniques, processes and instruments from classroom, state, and national sources used to make appropriate instructional decisions in literacy for diverse populations. Includes early intervention strategies and reporting to parents.",427,ELED,"Classroom Assesment and Intervention in Reading",3.94,93.00,6.00,0.00,0.00,0.00,3.00,167
"A course in college-level academic writing. Focus on argument, critical reading and writing, and information literacy.",103,ENGL,"Composition and Research",2.83,33.00,33.00,17.00,4.00,9.00,8.00,9409
"Reading and interpreting a wide variety of poems, examining the features of the poem as a form, variations of the form throughout history.",250,ENGL,"Understanding Poetry",3.17,40.00,40.00,11.00,4.00,3.00,5.00,719
"An introduction to the types of drama in the American, British and Continental traditions.",251,ENGL,"The Art of the Drama",2.48,15.00,27.00,28.00,6.00,6.00,21.00,336
"Analysis of American, British and Continental novels; the form of the novel and its variations.",252,ENGL,"Aspects of the Novel",3.11,36.00,42.00,13.00,2.00,3.00,6.00,1108
"A study of the historical development of the short story, its forms, characteristics and its most successful practitioners.",253,ENGL,"The Short Story",3.27,48.00,36.00,11.00,3.00,2.00,3.00,2403
"Focuses on writing content for websites. Students learn how to plan, write, design and evaluate Web pages and websites.",307,ENGL,"Writing for the World Wide Web",3.62,59.00,28.00,2.00,0.00,1.00,12.00,159
"Focuses on the practice and theory of writing, advanced strategies of writing, and the forms and aims of discourse. Emphasis on effective assignments, evaluation of prose, and the nature and analysis of style.",308,ENGL,"Composition III",3.34,54.00,27.00,7.00,2.00,4.00,8.00,311
"A study in literature written by American and British women, primarily during the 19th and 20th centuries. Among writers studied are Bronte, Eliot, Chopin, Wharton, Woolf, Plath, Walker.",342,ENGL,"Women in Literature",3.14,42.00,27.00,12.00,4.00,4.00,13.00,476
"Techniques of writing fiction and poetry through reading, analysis and directed writing. Students submit work-in progress for class discussion and a portfolio of poems or stories.",351,ENGL,"Creative Writing",3.56,70.00,17.00,6.00,2.00,3.00,5.00,606
"Study in literature written by American authors during the Harlem Renaissance period, beginning with the key concept of the period, W.E.B. DuBois' Double Consciousness. Readings include, but not limited to, the poetry of Hughes, McKay, Bennet, Fauset and Cullen; the fiction of Nugent, Fisher, Toomer, Larsen and Walter White.",379,ENGL,"Literatue of the Harlem Renaissance",3.72,82.00,13.00,1.00,0.00,4.00,2.00,177
"Experiential examination of the effects human activities have on the environment. Field trips may include aquaculture facilities, commercial fishing operations, factory farms (of both plants and animals), organic farms, large-scale composting operations, sewage treatment plants, pine plantations, chip mills and power plants.",102,ENVR,"Introduction to Sustainablity",3.20,50.00,27.00,14.00,3.00,4.00,5.00,2180
"Considers how humans - individually and collectively - have understood nature, primarily drawing from philosophy, literature, history and the arts. Special emphasis upon the genre of natural history as a bridge between the questions raised by the humanities about the living world and the natural sciences.",205,ENVR,"Art, Nature, Culture",3.08,41.00,36.00,11.00,3.00,6.00,6.00,676
"Discussion seminar focused upon the review and analysis of environmental topics in the mainstream media.",400,ENVR,"Contemporary Enviromental Issues",2.68,23.00,38.00,23.00,5.00,8.00,5.00,122
"Basic first aid and emergency concepts (CPR), as well as prevention, recognition, treatment and management of injuries and physical disabilities that effect exercise. Initial and follow-up care are studied, along with the influence of training and program design on adaptations associated with diseases, functional disabilities and injuries that affect strengthening techniques.",213,EXSC,"Injury Prevention and Emergency Management",3.19,46.00,35.00,13.00,3.00,3.00,2.00,1777
"Presents practical as well as theoretical knowledge about the various models and protocols used in health-related fitness assessment. Focuses on developing expertise in preparation of clients for fitness testing, utilization of various modes of exercise testing and test interpretation.",240,EXSC,"Fitness Testing",3.25,50.00,33.00,12.00,3.00,3.00,2.00,2660
"Introduction to the exercise science discipline, including certification and licensure, organizations, and employment opportunities. Examines the health-fitness specialist's role in facility administration and program management, including health promotion programming, marketing, equipment maintenance, facility design and documented safety procedure.",300,EXSC,"Health and Fitness Programs and Professions",3.68,80.00,14.00,5.00,1.00,2.00,1.00,1246
"Examination of the structure and function of the human body and the mechanical principles affecting its movement. Review of the musculoskeletal system followed by an in-depth study of how human movement occurs. Presentation of nomenclature of the body planes, axes and movement.",333,EXSC,Kinesiology,2.79,25.00,38.00,27.00,5.00,3.00,4.00,1248
"In-depth study of changes that occur due to acute and chronic exercise. Emphasis on circulatory, nervous and muscular systems.",344,EXSC,"Excercise Physiology",2.98,31.00,42.00,22.00,4.00,2.00,3.00,1071
"4 hours credit Presents practical as well as theoretical knowledge about the various modes and protocols used in graded exercise testing, basic electrocardiography and exercise prescription based on testing results. Laboratory sessions provide opportunities for students to gain practical experience in performing various physiological testing procedures.",472,EXSC,"Stress Testing and Exercise Prescription",3.32,47.00,39.00,13.00,1.00,1.00,1.00,1103
"Addresses fundamental concepts in financial management such as security markets, interest rates, taxes, risk analysis, time value of money, valuation models and related global issues. Explains how financial managers help maximize the value of a firm by making capital budgeting, cost of capital and capital structure decisions.",311,FINA,"Financial Management",2.37,13.00,31.00,31.00,10.00,7.00,11.00,3326
"Study of corporate financial policy issues within the context of value creation. Topics include in-depth analysis of advanced capital budgeting methods, capital structure policy, dividend policy, derivatives and hedging risk within the context of corporate financial policy. Case studies, application-oriented articles and daily media reports used to bridge the academic/theoretical arguments to the real life problems/situations.",440,FINA,"Corporate Finance",2.33,13.00,30.00,35.00,13.00,6.00,6.00,519
"Examines the capital market and marketable securities traded in the market, with emphasis on stocks and fixed income securities. Topics include portfolio theory, the efficient market hypothesis and evaluation of portfolio performance.",441,FINA,"Investments I",2.64,16.00,41.00,33.00,4.00,4.00,5.00,629
"Analysis of the structure of real estate markets. Study of principles of mortgage lending, property appraisal and real estate investments.",443,FINA,"Essentials of Real Estate",2.94,20.00,56.00,20.00,1.00,2.00,3.00,250
"Covers topics including the components of fitness, nutrition, weight management, cancer, cardiovascular disease and stress management within the framework of the six dimensions of wellness. Includes both lecture and physical fitness components. Four hours per week",106,FTWL,"Lifelong Fitness and Wellness",3.31,62.00,17.00,8.00,3.00,7.00,6.00,13618
"Introduction to the variable human character of the earth. Contemporary world problems such as population, growth, economic development, urbanization, resource utilization and human alteration of the natural environment are examined from a locational perspective.",100,GEOG,"Introduction to Human Geography",2.64,26.00,32.00,25.00,11.00,6.00,3.00,1177
"Geographic study of countries of Africa and the Americas emphasizing their physical and cultural characteristics. Special attention to contemporary issues/problems.",102,GEOG,"World Geography: Africa and The Americas",2.90,27.00,46.00,19.00,3.00,5.00,4.00,797
"An introductory course in earth and space science for prospective elementary school teachers. An examination of the physical character of the Earth and its place in the solar system. This course is intended for elementary education majors.",104,GEOG,"Earth and Space Science",2.61,20.00,37.00,28.00,9.00,5.00,5.00,2893
"Introduction to the variable physical character of the earth. Treatment of weather, climate, soil, vegetation, landforms and oceanic circulation with emphasis on processes, interrelationships and distributional patterns.",105,GEOG,"Introduction to Physical Geography",2.71,25.00,33.00,27.00,8.00,4.00,6.00,1613
"Examination of global progress in major civilizations from prehistoric times to the present emphasizing the economic, social, cultural, intellectual and political trends motivating human beings.",101,HIST,"World Civilizations",2.73,29.00,32.00,21.00,7.00,8.00,6.00,7444
"Examination of global progress in major civilizations from prehistoric times to the present emphasizing the economic, social, cultural, intellectual and political trends motivating human beings.",102,HIST,"World Civilizations",2.88,34.00,34.00,17.00,6.00,6.00,6.00,8023
"Topics change each semester. Requires extensive reading, writing and class discussion on a topic in world history.",103,HIST,"First-Year Seminar in World History",2.91,37.00,32.00,18.00,6.00,6.00,4.00,1993
"Survey of the political, economic, social and cultural factors that have shaped the pattern of life in the United States. Particular problems examined in the light of their sources and historical development.",201,HIST,"History of the United States",2.73,22.00,42.00,21.00,6.00,6.00,6.00,2747
"Survey of the political, economic, social and cultural factors that have shaped the pattern of life in the United States. Particular problems examined in the light of their sources and historical development. HIST 201 goes through 1865 and HIST 202 from 1865 to the present.",202,HIST,"History of the United States",3.09,40.00,36.00,13.00,4.00,4.00,5.00,2532
"Introduction to basic information and skills required to administer care in emergency situations. Students may earn a nationally recognized certification in basic life support and first aid.",102,HLTH,"First Aid and Saftey",0.00,0.00,0.00,0.00,0.00,17.00,84.00,43
"Examination of the social, psychological, physical and emotional aspects of alcohol, tobacco, over-the-counter drug and illegal drug use and associated behaviors. Emphasis placed on information and concepts required as foundation knowledge for school health educators.",240,HLTH,"Drug Education",3.84,88.00,10.00,1.00,0.00,1.00,1.00,314
"Provides strategies for teaching about human sexuality at individual and group levels in a variety of settings. Topics covered will include content, issues, methodology and materials relating to human sexuality education.",311,HLTH,"Human Sexuality Education",3.35,53.00,34.00,9.00,2.00,3.00,2.00,487
"Examines human metabolism in relation to health and human performance. Analysis of nutrient pathways from ingestion, digestion, absorption and utilization provides the foundation for an understanding of nutrition, weight control, eating disorders and thermoregulatory processes.",317,HLTH,"Nutrituion, Health and Human Performance",3.03,33.00,43.00,20.00,4.00,2.00,2.00,514
"Study of the community dynamics as it affects the health status of community residents. Examine the role that various agencies' policies and practices have in maintaining optimal health and well-being of community members. Emphasis placed on information and concepts required as foundation knowledge for school and community health educators.",401,HLTH,"Community Health",3.24,45.00,39.00,15.00,3.00,1.00,1.00,289
"Examines processes for developing clear and sound arguments. Emphasizes critical thinking, writing, oral debate information literacy and research skills.",111,HONR,"Critical Thinking and Writing",3.49,58.00,34.00,6.00,1.00,2.00,3.00,1113
"Laboratory course that familiarizes students with current enduser software such as word processors, spreadsheets and databases.",111,INFO,"Business Microcomputer Use",3.37,64.00,19.00,8.00,3.00,6.00,4.00,348
"Examines use of information technology to meet management challenges within the business environment. Computer based labs and class discussions promote understanding ofthe technical aspects of information systems and an appreciation for the relationship between systems and organizational processes.",211,INFO,"Informaion Systems Concepts for Management",3.04,37.00,38.00,13.00,4.00,5.00,6.00,5301
"Study of modern statistical technique with emphasis on data analysis in a computer-assisted environment. Topics include analysis of variance and experimental design, categorical data analysis, regression analysis, model building, time series analysis and index numbers.",281,INFO,"Intermediate Business Statistics",2.78,22.00,41.00,26.00,5.00,3.00,6.00,3590
"Introduction to the development of business applications using software development languages and tools commonly used in industry. Topics include design and implementation of user interfaces, business process automation and data stores.",301,INFO,"Business Applications Development",3.47,56.00,34.00,6.00,1.00,1.00,5.00,837
"Study of productivity, quality control, cost-effectiveness and profitability of manufacturing and service organizations from the managerial perspective. Topics include product design, resource requirements and flow, facility layout, distribution system design, quality control, forecasting techniques and inventory policy.",326,INFO,"Operations Management",2.75,23.00,37.00,29.00,5.00,3.00,5.00,2802
"Concepts and characteristics of data communication systems including network architectures, network operating systems, OSI Reference Model and network trends. Examination of wired and wireless networks, network security and network management.",385,INFO,"Data Communications and Networking",2.98,34.00,38.00,21.00,4.00,3.00,3.00,535
"Elementary education majors review and extend topics of number and operation and early algebra that are taught in elementary school. Focus is on developing a deep understanding of number, addition, subtraction, multiplication and division, and introductions to number theory and algebraic expressions and equations. Focus on looking at the tools for instruction of these concepts in an elementary or middle school setting.",130,MATH,"Fundamental Concepts I",3.26,55.00,25.00,13.00,4.00,4.00,3.00,1242
"A modeling approach to algebraic topics used in problem solving. Topics include equations and functions; polynomial, exponential and logarithmic functions: graphing and data analysis/modeling. Emphasis on skill development, problem solving, critical thinking, working in teams, use of graphing calculators and communicating effectively.",135,MATH,"College Algebra: A Modeling Approach",2.45,24.00,22.00,19.00,9.00,12.00,17.00,1737
"Applications-oriented college algebra and trigonometry course for students planning to study science or additional mathematics. Emphasizes computational, qualitative, visual and symbolic approaches. Topics include functions and graphs; exponential, logarithmic and trigonometric functions; and difference equations.",140,MATH,"College Algebra and Trigonometry",2.32,26.00,19.00,16.00,9.00,17.00,16.00,1373
"Focuses on conceptual understanding of statistics, probability, algebra and connections among them. Develops the depth of understanding needed for teaching elementary and middle school as well as knowledge of content students encounter in later grades. Models the implementation of guidelines for teaching statistics and algebra set forth by the American Statistical Association and the National Council of Teachers of Mathematics.",150,MATH,"Data, Probability and Algebra Connections",3.02,41.00,31.00,17.00,6.00,4.00,4.00,875
"Descriptive and inferential analysis of raw data, emphasizing appropriate assumptions, computer use and interpretation. Consideration of parametric and nonparametric methods and comparison of their powers. Intended for students in the social and natural sciences.",155,MATH,"Modern Statistics with Computer Analysis",2.42,21.00,28.00,26.00,11.00,10.00,8.00,8823
"Introductory study of differential and integral calculus with emphasis on techniques and applications. For students in the biological, management, social and behavioral sciences.",160,MATH,"Introduction to Applied Calculus",2.64,25.00,27.00,24.00,7.00,7.00,12.00,4058
"Introduction to analytic geometry, limits, continuity, derivatives of elementary functions and applications of the derivative.",201,MATH,"Calculus I",2.28,20.00,21.00,18.00,11.00,13.00,20.00,2978
"Elementary education majors further develop their algebraic, proportional and geometric reasoning as they continue their study of fundamental concepts in elementary and middle school curricula. The focus is on developing a deep understanding of ratios, proportional relationships, algebraic equations, functions, geometric thinking and measurement concepts. Examine the tools for the instruction of these concepts in an elementary or middle school setting",230,MATH,"Fundamental Concepts II",3.27,50.00,32.00,12.00,4.00,2.00,3.00,1036
"Introductory course covering the concepts, theories and methods of managing people and designing organizations. Examine both individual and organizational factors that influence employees' behavior at work. Topics include motivation, perception, decision-making, leadership, culture and communication.",320,MGMT,"Management and Organizational Behavior",3.21,39.00,44.00,14.00,2.00,1.00,2.00,3082
"Addresses social and ethical problems facing business today. Ethical principles and problem solving models are applied to issues of profit maximization, workplace diversity, consumerism, risk management, product liability, government business interface, environmental economics, global business, financial management and other key business areas. Focus is on analyzing these problems and developing alternative ethical solutions through case studies, formal debates and class discussions.",325,MGMT,"Business and Society",3.12,32.00,51.00,14.00,2.00,1.00,2.00,2406
"Study of management of human resources in organizations. Topics include recruiting, selecting, developing and compensating personnel; labor union relations; and development of personnel policy.",350,MGMT,"Human Resource Management",3.34,42.00,51.00,7.00,1.00,1.00,2.00,825
"Provides students with an understanding of the unique features that characterize the multinational enterprise. Emphasis on the changing context in which business is conducted on a global basis.",422,MGMT,"Management of the Multinational Business",3.09,27.00,59.00,13.00,1.00,1.00,1.00,806
"Practical analysis of the viability of a business venture and development of a business plan to fund such a venture. Emphasis on reducing risk and uncertainty under competitive economic conditions.",428,MGMT,Entrepreneurship,2.94,15.00,66.00,17.00,1.00,1.00,2.00,783
"Study of methods and techniques for consulting with small and independent businesses. Students work with business owners under faculty supervision to study real problems of small business organizations and devise and recommend solutions.",492,MGMT,"Small Business Consulting",3.17,34.00,52.00,15.00,1.00,1.00,1.00,2678
"Survey of basic marketing concepts and principles from a managerial perspective. Topics include the marketing concept, environment and demand analysis, marketing mix (product, price distribution and promotion), and an introduction to marketing strategy and international marketing. Learn how to create a basic marketing plan.",330,MKTG,"Principles of Marketing Management",3.31,44.00,45.00,10.00,1.00,1.00,2.00,3467
