"Diallo D.",Sessoms,3.22,883,10.00,41.00,37.00,10.00,2.00,3.00,"Computers in Education Technology in Education"
"Ernest L.",Bond,4.00,71,6.00,95.00,0.00,0.00,0.00,0.00,"Childrens Literature"
"Shanetia P",Clark,3.79,685,1.00,84.00,14.00,3.00,1.00,1.00,"Childrens Literature Creative Arts Instruction Diversity and the Self Integrated Reading and Language Arts Grades 3-6 Literacy Assessment and Intervention Literature for Children Reading Instruction"
"Althea J.",Pennerman,3.34,708,2.00,50.00,37.00,10.00,2.00,1.00,"Applied Teaching Study Diversity and the Family Diversity in Education Instructional Techniques for Inclusion Teaching Diverse Learners"
"Patricia K",King,3.86,1091,1.00,89.00,10.00,1.00,1.00,1.00,"Building Classroom Community Clinical Practice Seminar Diversity and the Self Inclusive Instruction for Secondary Teachers Instructional Techniques for Inclusion Literacy Assessment and Intervention Studies in Elementary Education Teaching Diverse Learners"
"Teena R.",Gorrow,3.99,264,2.00,98.00,1.00,1.00,0.00,0.00,"Building Classroom Community Classroom Management"
"Theresa Ann",Spicer,3.90,299,0.00,93.00,6.00,2.00,0.00,1.00,"Classroom Assesment and Intervention in Reading Clinical Practice Seminar Diversity and the Community Integrated Reading and Language Arts Grades 3-6 Literacy Assessment and Intervention"
"Raffaela N",Record,3.97,41,5.00,93.00,3.00,0.00,0.00,0.00,"Classroom Assesment and Intervention in Reading"
Robert,Hoffman,2.97,445,6.00,34.00,35.00,19.00,4.00,4.00,"Composition and Research"
"Tonya A",Price,2.61,1217,7.00,21.00,38.00,21.00,6.00,9.00,"Composition and Research The Short Story Understanding Poetry"
"Claire Louise",Twigg,3.00,91,6.00,32.00,42.00,15.00,3.00,5.00,"Composition and Research Understanding Poetry"
"Lisa Noelle",Howard,2.84,339,7.00,31.00,36.00,17.00,8.00,5.00,"Civic Engagement Foundation: An Introduction for Presidential Citizen Scholars Composition and Research Special Topics in Interdisciplinary Studies"
"John Adam",Timmons,2.77,587,5.00,29.00,38.00,19.00,4.00,9.00,"Composition and Research The Short Story"
"Mary Kathryn",Megargee,2.71,263,2.00,17.00,49.00,26.00,4.00,5.00,"Composition and Research The Short Story"
"Gayle Elizabeth",Metzger,2.56,43,5.00,14.00,40.00,33.00,5.00,5.00,"Composition and Research"
"Linsey Marie",Ashton,3.17,91,2.00,49.00,32.00,10.00,5.00,5.00,"Composition and Research The Short Story"
Daniel,Norris,3.04,103,0.00,43.00,39.00,7.00,3.00,9.00,"Composition and Research Critical Thinking and Writing"
"Jason Laird",Wise,3.37,343,5.00,59.00,27.00,5.00,1.00,7.00,"Composition and Research Composition III"
"Geralyn M",Adams,2.66,54,13.00,17.00,49.00,10.00,2.00,12.00,"Composition and Research"
"April C",Logan,3.09,635,5.00,40.00,37.00,13.00,3.00,5.00,"African-American Literature I African-American Literature II American Women Writers of Color Topics in African-American Literature Understanding Poetry"
"Gary M.",Harrington,2.41,802,23.00,15.00,25.00,26.00,7.00,8.00,"American Literature II: 1860-Present American Southern Writers: Modern to Present Shakespeare Studies in English Literature The Art of the Drama The Short Story"
"Karen E.",Rayne,3.18,778,4.00,37.00,47.00,11.00,2.00,2.00,"Aspects of the Novel Composition and Research The Short Story Understanding Poetry"
"Vicki C",Willey,3.30,771,2.00,46.00,42.00,10.00,1.00,2.00,"Aspects of the Novel Composition and Research The Short Story"
"Arnold N",Melczarek,3.16,1116,7.00,44.00,31.00,14.00,4.00,3.00,"Aspects of the Novel Composition and Research Gothic Fiction Literature of the Queer Studies in English Literature The Bible as Literature The Short Story"
"John D.",Kalb,2.80,286,7.00,26.00,40.00,19.00,5.00,6.00,"Ethnic Literature of the United States Native American Literature The Short Story Topics in Native American Literature"
"Trisha N",Campbell-Hanson,3.45,265,9.00,51.00,36.00,4.00,1.00,2.00,"Composition and Research Composition III Studies in English Literature Studies in English: Language, Film or Writing The Short Story Writing for the World Wide Web"
"Cynthia Ann",Payne,2.70,811,17.00,28.00,28.00,16.00,5.00,10.00,"Composition and Research Composition III Technical Writing and Editing"
"Thomas R",Leasure,2.93,754,14.00,31.00,32.00,17.00,5.00,4.00,"Aspects of the Novel Chaucer's Visions and Voyages Literature and Film Literature of the Queer Medieval English Literature Milton's Angels and Demons Norse Literature in Translation Science Fiction Shakespeare Studies in English Literature The Art of the Drama"
"Judith E.",Pike,3.29,847,12.00,52.00,23.00,9.00,3.00,4.00,"British Literature II: 1660-Present Composition and Research Literary Analysis Romantic Literature Studies in English: Language, Film or Writing The Short Story Victorian Literature Women in Literature"
"Susan M",McCarty,3.39,80,4.00,63.00,19.00,9.00,3.00,4.00,"Creative Writing Fiction Workshop Topics in English: Writing or Film Writer's Craft"
Manav,Ratti,3.58,827,3.00,66.00,28.00,4.00,1.00,2.00,"Global Literature and Justice Literature of the "Third World" Studies in English Literature The Short Story Topics in Global South Literature"
"James S.",King,3.78,915,3.00,83.00,13.00,1.00,0.00,3.00,"African-American Literature I African-American Short Story International Studies in Literature Introduction to African Literature Literatue of the Harlem Renaissance Literature of the African Diaspora Studies in English Literature Topics in African-American Literature"
"Tami S",Ransom,3.31,1260,3.00,51.00,32.00,12.00,2.00,2.00,"Conservation and Biodiversity Ecology Environmental Senior Seminar Environmental Studies: Methods and Analysis Introduction to Sustainablity Topics in the Natural Sciences Wildlife Management and Feild Techniques"
"James D.",Hatley,3.47,330,3.00,62.00,27.00,7.00,1.00,3.00,"Art, Nature, Culture Environmental Responsibility Environmental Senior Seminar Medieval Philosophy Topics in Humanities/Social Sciences"
"Jill L",Caviglia-Harris,2.06,816,13.00,14.00,22.00,25.00,12.00,17.00,"Contemporary Enviromental Issues Environmental and Natural Resource Economics Environmental Studies: Methods and Analysis Intermediate Microeconomics Principles of Environmental Economics Principles of Microeconomics Special Topics in Economics"
"Jessica Marie",Walter,2.84,1263,3.00,29.00,39.00,22.00,5.00,5.00,"First Aid and Emergency Care First Aid and Saftey Fitness Testing Injury Prevention and Emergency Management Issues in the Natural Sciences Kinesiology"
"Heather Lynn",Martin,3.56,201,4.00,63.00,28.00,5.00,0.00,1.00,"First Aid and Saftey Fitness Testing Injury Prevention and Emergency Management"
"Shelby Jo",Ripperger,3.21,230,2.00,49.00,32.00,13.00,3.00,4.00,"Fitness Testing"
"Autumn D",Romanowski,3.53,1704,1.00,69.00,22.00,7.00,2.00,3.00,"Clinical Exercise Physiology Fitness Instruction Fitness Testing Health and Fitness Programs and Professions Introduction to Health Sciences Lifelong Fitness and Wellness"
"Brent F",Fedorko,3.12,1485,4.00,43.00,32.00,18.00,4.00,3.00,"Exercise Science Seminar First Aid and Emergency Care Fitness Testing Injury Prevention and Emergency Management Kinesiology Scuba Diving"
"Lisa M",Marquette,2.78,1418,3.00,22.00,44.00,26.00,4.00,4.00,"Excercise Physiology Fitness Instruction Fitness Testing Nutrition, Health and Human Performance Nutrituion, Health and Human Performance Obesity Prevention and Treatment Selected Topics in Health Strength Training Techniques and Program Design"
"Abby S",Gibson,2.95,514,2.00,26.00,50.00,21.00,2.00,3.00,"Clinical Exercise Physiology Exercise Science Seminar Health and Fitness Programs and Professions Internship in Exercise Science Stress Testing and Exercise Prescription"
"John J.",LaManca,3.29,797,1.00,48.00,36.00,16.00,1.00,1.00,"Fitness Testing Stress Testing and Exercise Prescription"
"Ellwood Tyler","Claggett Jr",2.25,716,10.00,11.00,29.00,33.00,11.00,9.00,"Financial Institutions and Markets Financial Management International Financial Management"
Herman,Manakyan,2.63,1149,9.00,22.00,32.00,26.00,8.00,5.00,"Financial Management Practicum in Portfolio Management"
Khashayar,Khazeh,2.35,965,14.00,9.00,30.00,35.00,10.00,5.00,"Financial Management International Financial Management"
"Danny M.",Ervin,2.42,975,6.00,15.00,31.00,34.00,11.00,6.00,"Corporate Finance Financial Management Special Topics in Economics The Economics of Voluntary Exchange"
"Ani M",Mathers,2.49,617,6.00,13.00,36.00,36.00,7.00,4.00,"Corporate Finance Financial Management Investments I Practicum in Portfolio Management"
Leonard,Arvi,2.94,884,2.00,25.00,49.00,23.00,2.00,3.00,"Essentials of Real Estate Financial Derivatives Financial Institutions and Markets Financial Management International Financial Management Investments I Practicum in Portfolio Management Special Topics in Finance"
Grady,Armstrong,3.31,1826,5.00,61.00,18.00,10.00,3.00,6.00,"Adapted Physical Education Lifelong Fitness and Wellness"
"Cindy L",Riley,3.35,1479,6.00,63.00,17.00,8.00,3.00,7.00,"Lifelong Fitness and Wellness"
"Kylie M.",White,3.36,1603,6.00,63.00,17.00,8.00,3.00,6.00,"Foundations of Athletic Training Lifelong Fitness and Wellness"
"Amal K.","Ali Moustafa",2.65,1316,3.00,26.00,33.00,25.00,10.00,6.00,"Environmental Planning Introduction to Human Geography Principles of Planning Seminar in Urban Theory Smart Growth"
"Mark J","de Socio",2.93,1621,4.00,28.00,45.00,19.00,3.00,4.00,"Geography of Sport Globalization and the World Economy Introduction to Human Geography Issues in the Social Sciences Political Geography Urban Geography World Geography: Africa and The Americas World Geography: Europe and Asia"
"Vanessa S",Smullen,2.76,1213,4.00,27.00,36.00,24.00,7.00,4.00,"Earth and Space Science Environmental Science: Concepts and Methods Introduction to Engineering Design Physical Science"
"Daniel W.",Harris,2.64,1344,6.00,22.00,34.00,28.00,7.00,5.00,"America's National Parks Introduction to Physical Geography Map Interpretation and Analysis Wilderness Navigation World Regions"
"Claudia A.",Hannon,2.90,1189,5.00,34.00,34.00,18.00,6.00,6.00,"History of the Ancient Near East History of the United States Topics in History World Civilizations"
"Bart R",Talbert,3.07,1510,5.00,36.00,38.00,19.00,1.00,4.00,"Ancient Military History History of the United States Medieval Military History Military History of the Modern World Sectional Conflict and Civil War The American Military Experience The Emergence of a New Nation: U.S. (1789-1860) World Civilizations"
"Kevin E.",Birch,2.66,1666,10.00,30.00,27.00,19.00,8.00,10.00,"Greek History History of the Early Roman Empire Introduction to Classical Mythology Research Seminar Capstone Roman History Topics in History World Civilizations"
"Timothy S.",Miller,2.29,433,6.00,16.00,27.00,31.00,14.00,9.00,"The French Revolution and Napoleon, 1789-1815 World Civilizations"
"Barry P.",Neville,3.16,349,2.00,33.00,54.00,12.00,1.00,2.00,"History of the United States World Civilizations"
Joseph,Chaikel,3.35,427,3.00,51.00,36.00,10.00,1.00,2.00,"World Civilizations"
"Margaret Fisk",Genvert,2.66,940,4.00,19.00,41.00,27.00,8.00,4.00,"History of the United States World Civilizations"
"Timothy F.",Robinson,3.03,951,3.00,31.00,47.00,16.00,3.00,3.00,"History of the United States World Civilizations"
"Melissa English",Schock,3.26,930,4.00,54.00,27.00,10.00,3.00,5.00,"World Civilizations"
"Adam P",Bronson,3.25,186,2.00,47.00,38.00,10.00,3.00,3.00,"Japanese Civilization Modern Japan World Civilizations"
Aparajita,Mukhopadhyay,3.30,277,2.00,49.00,37.00,11.00,3.00,2.00,"First-Year Seminar in World History History of India to 1857 History of India: 1857 to Present World Civilizations"
"Joseph L",Venosa,2.65,1248,6.00,29.00,30.00,20.00,10.00,8.00,"First-Year Seminar in World History History of Africa to 1870 History of Africa: 1870-Present The Middle East Since 1800 Topics in History World Civilizations"
"Jeanne E.",Whitney,2.48,1220,10.00,13.00,40.00,24.00,10.00,6.00,"American Religious History History of American Buildings History of the United States Proseminar In History World Civilizations"
"Kara M",French,3.11,642,3.00,39.00,38.00,17.00,3.00,3.00,"Gender and Sexuality Studies Capstone Seminar History of the United States Introduction to Gender and Sexuality Studies Proseminar In History Topics in History Women in Early American History Women in Modern America"
Tom,Goyens,3.03,1103,3.00,34.00,45.00,15.00,4.00,4.00,"Americans in the Gilded Age, 1865-1905 History of the United States Proseminar In History Research Seminar Capstone Social and Cultural History of the United States II The Immigrant in American History World Civilizations"
"Aston A",Gonzalez,2.65,686,6.00,25.00,38.00,17.00,7.00,10.00,"African-American History from 1865 African-American History to 1865 History of the United States Proseminar In History Topics in History"
"Dean J.",Kotlowski,3.39,714,3.00,56.00,30.00,8.00,2.00,2.00,"America in the 1970s America In the Great Depression First-Year Seminar in World History Research Seminar Capstone The United States in the 20th Century I The United States in the 20th Century II"
Thomas,Sims,0.00,15,67.00,0.00,0.00,0.00,0.00,34.00,"First Aid and Saftey"
"Sherry Azadi",Maykrantz,3.80,958,1.00,85.00,13.00,2.00,0.00,2.00,"Drug Education Drugs and Public Health Health Behavior Health Communication Health Literacy and Communication Honors Interdisciplinary Seminar"
"Brandye D.",Nobiling,3.30,1152,2.00,50.00,36.00,11.00,3.00,2.00,"Chronic and Communicable Diseases Community Health Foundations of Public Health Education Health Behavior Human Sexuality Education Planning and Assessing Health Programs Senior Seminar in Public Health Education"
"Scott A.",Mazzetti,3.34,1941,2.00,52.00,33.00,11.00,1.00,3.00,"Excercise Physiology Exercise Science Seminar Fitness Testing Nutrition, Health and Human Performance Nutrituion, Health and Human Performance Strength Training Techniques and Program Design"
"Lauren R",Hill,3.51,684,2.00,61.00,32.00,5.00,1.00,2.00,"Critical Thinking and Writing Honors Thesis Preparation Issues in the Humanities Issues in the Social Sciences"
"Cara L",Wood,3.57,256,2.00,66.00,29.00,3.00,1.00,2.00,"Critical Thinking and Writing History of the Broadway Musical Issues in the Humanities"
"William P.","Burke Jr",3.45,583,2.00,62.00,27.00,7.00,2.00,3.00,"Business Microcomputer Use Informaion Systems Concepts for Management Special Topics in Interdisciplinary Studies"
"Sumathy X.",Chandrashekar,2.82,1586,7.00,30.00,34.00,20.00,5.00,6.00,"Business Microcomputer Use Informaion Systems Concepts for Management Intermediate Business Statistics Operations Management"
"Laura E.",Anderson,3.09,2316,6.00,40.00,36.00,13.00,4.00,4.00,"Database Management Systems Informaion Systems Concepts for Management Information Systems Development and Implementation Project Management"
"Jamie Lynn",Holmes-Kriger,3.16,509,4.00,38.00,44.00,12.00,3.00,2.00,"Informaion Systems Concepts for Management"
"Adeniyi Adeleke",Adeniran,3.15,630,5.00,45.00,33.00,12.00,2.00,5.00,"Informaion Systems Concepts for Management"
"John E",Kutchen,3.19,479,3.00,43.00,41.00,10.00,3.00,3.00,"Informaion Systems Concepts for Management"
Fatollah,Salimian,2.58,1328,8.00,17.00,35.00,32.00,7.00,4.00,"Computer Hardware and OS Technologies Intermediate Business Statistics"
"Jeffrey E.",Kottemann,3.29,942,2.00,41.00,47.00,12.00,0.00,1.00,"Data Mining for Business Intelligence Intermediate Business Statistics"
"Kathleen M.",Wright,3.49,817,4.00,56.00,35.00,6.00,1.00,1.00,"Business Applications Development Mobile Enterprise Application Development"
"Eugene D.",Hahn,3.02,881,5.00,35.00,35.00,22.00,4.00,2.00,"3D Printing/Digitally Enabled Product Development Managerial Decision Support Systems with VBA Operations Management Special Topics"
Yinghao,Zhang,2.84,143,2.00,29.00,35.00,28.00,5.00,3.00,"Operations Management"
Jing,Quan,2.95,793,4.00,30.00,41.00,22.00,4.00,3.00,"Data Communications and Networking Global Information Systems Management Intermediate Business Statistics"
"Carvel Lee",LaCurts,3.13,1175,4.00,45.00,31.00,16.00,5.00,3.00,"Data, Probability and Algebra Connections Fundamental Concepts I Fundamental Concepts II"
"Alfred S",Beebe,2.43,835,14.00,19.00,23.00,28.00,13.00,6.00,"College Algebra: A Modeling Approach Introduction to Applied Calculus Modern Statistics with Computer Analysis"
"Robert A.",Johnson,3.01,589,5.00,41.00,30.00,15.00,8.00,4.00,"College Algebra and Trigonometry College Algebra: A Modeling Approach Modern Statistics with Computer Analysis"
"Bohdan G",Kunciw,2.26,964,7.00,19.00,29.00,22.00,10.00,16.00,"College Algebra: A Modeling Approach Introduction to Applied Calculus Modern Statistics with Computer Analysis"
"Everette L","May Jr",2.53,564,5.00,22.00,30.00,29.00,11.00,7.00,"Introduction to Abstract Mathematics Introduction to Discrete Mathematics Issues in the Natural Sciences Liberal Arts Mathematics Linear Algebra Modern Statistics with Computer Analysis"
"Reed D.",McDowell,2.56,221,8.00,25.00,27.00,25.00,10.00,7.00,"College Algebra: A Modeling Approach Introduction to Applied Calculus Modern Statistics with Computer Analysis"
"Steven M.",Hetzler,3.04,1356,6.00,40.00,34.00,14.00,4.00,5.00,"Analysis I Calculus I Calculus II Calculus III Differential Equations I Introduction to Applied Calculus Introduction to Discrete Mathematics Introduction to Dynamics and Chaos Liberal Arts Mathematics Linear Algebra Mathematical Models and Applications Modern Statistics with Computer Analysis"
"Troy V.",Banks,2.51,1322,11.00,22.00,30.00,22.00,10.00,9.00,"Calculus I Calculus II College Algebra: A Modeling Approach Differential Equations I Introduction to Applied Calculus Introduction to Discrete Mathematics Linear Algebra Mathematical Models and Applications Modern Statistics with Computer Analysis"
Robert,Barber,2.93,1893,11.00,35.00,27.00,22.00,5.00,4.00,"College Algebra: A Modeling Approach Intermediate Business Statistics Introduction to Applied Calculus Issues in the Natural Sciences Liberal Arts Mathematics Modern Statistics with Computer Analysis"
"Theresa A",Manns,2.52,1499,7.00,24.00,29.00,22.00,11.00,9.00,"College Algebra: A Modeling Approach Data, Probability and Algebra Connections Introduction to Applied Calculus Liberal Arts Mathematics Modern Statistics with Computer Analysis"
